id;name;description;avatar;avatar_content_type;type;status
1;e-business Garden;Computers Public-key;../fake-data/blob/hipster.png;image/png;AEM_ANIMATION;true
2;frictionless;payment;../fake-data/blob/hipster.png;image/png;AEM_NEWS;false
3;Moroccan Dirham;Dynamic Fantastic Concrete Chips Global;../fake-data/blob/hipster.png;image/png;AEM_COMMUNITY;true
4;Movies strategic;Fresh Checking Account;../fake-data/blob/hipster.png;image/png;AEM_FAMILY;true
5;Clothing;virtual;../fake-data/blob/hipster.png;image/png;AEM_ENTITY;false
6;instruction set;RAM Unbranded mission-critical;../fake-data/blob/hipster.png;image/png;AEM_COMMUNITY;false
7;deposit Home District;background Iran Borders;../fake-data/blob/hipster.png;image/png;AEM_FAMILY;true
8;Denmark Fresh Movies;B2C white;../fake-data/blob/hipster.png;image/png;AEM_COORDINATION;true
9;quantify;repurpose Personal Loan Account;../fake-data/blob/hipster.png;image/png;AEM_NEWS;false
10;Roads;Investment Account SDD;../fake-data/blob/hipster.png;image/png;AEM_ENTITY;false
